iter	Precision	Logloss
0	0.9190751445	0.6379541865
1	0.905027933	0.5915869364
2	0.9209039548	0.5468894343
3	0.933908046	0.5106029949
4	0.939481268	0.4839179383
5	0.9340974212	0.4523348844
6	0.9420289855	0.4244783762
7	0.939481268	0.4028853706
8	0.9421965318	0.3793063263
9	0.9421965318	0.3643484903
10	0.939481268	0.347995359
11	0.939481268	0.3328306416
12	0.9421965318	0.3180856158
13	0.9367816092	0.3049743015
14	0.947826087	0.2912571735
15	0.947826087	0.282885585
16	0.9450867052	0.2730416794
17	0.947826087	0.2648288107
18	0.9449275362	0.2553049354
19	0.9449275362	0.2463699822
20	0.9504373178	0.2391739796
21	0.9476744186	0.2332061985
22	0.947826087	0.2261414735
23	0.9561403509	0.2191393998
24	0.9588235294	0.2124044133
25	0.9588235294	0.2059812382
26	0.9617647059	0.2001042756
27	0.9589442815	0.195078535
28	0.9589442815	0.1893365242
29	0.9589442815	0.1860569396
